match_id,round,team_id,opponent_team_id,accurateCross,accurateKeeperSweeper,accurateLongBalls,accuratePass,aerialLost,aerialWon,bigChanceCreated,bigChanceMissed,blockedScoringAttempt,challengeLost,clearanceOffLine,dispossessed,duelLost,duelWon,errorLeadToAGoal,errorLeadToAShot,expectedAssists,expectedGoals,fouls,goalAssist,goals,goalsPrevented,goodHighClaim,height,hitWoodwork,interceptionWon,jerseyNumber,keyPass,lastManTackle,onTargetScoringAttempt,outfielderBlock,ownGoals,penaltyConceded,penaltyMiss,penaltySave,penaltyWon,possessionLostCtrl,punches,savedShotsFromInsideTheBox,saves,shotOffTarget,totalClearance,totalContest,totalCross,totalKeeperSweeper,totalLongBalls,totalOffside,totalPass,totalTackle,touches,wasFouled,wonContest
12436871,1,32,44,2,1,19,272,18,11,0,0,3,11,0,4,46,51,0,0,0.20225178,0.4523,9,0,0,0.3469,1,3631,0,9,341,4,0,2,6,0,0,0,0,0,111,0,3,3,2,28,8,8,1,47,5,347,20,527,17,3
12436871,1,44,32,4,0,30,492,11,18,5,4,7,3,0,9,51,46,0,1,2.43883767,2.6589,18,1,2,0.2438,0,3672,0,5,507,13,1,5,2,0,0,0,0,0,129,0,1,2,6,16,22,23,0,56,0,570,9,748,8,11
12499406,1,2569,2573,8,0,35,385,27,21,2,2,5,4,0,10,54,58,0,0,1.78226822,3.5279000000000003,8,1,3,0.4125,0,3713,0,5,384,16,0,8,4,0,0,0,0,1,123,2,4,4,8,40,13,28,0,63,2,460,16,669,14,8
12499406,1,2573,2569,7,0,24,303,21,27,4,3,4,8,0,10,58,54,0,0,0.72760341,1.8785,14,2,2,0.8431,2,3709,0,7,296,14,0,6,5,0,1,0,0,0,137,0,2,5,7,27,10,22,0,54,1,383,15,582,8,4
12499391,1,2673,2674,7,0,19,646,3,18,2,1,8,7,0,8,32,48,0,0,1.0626251,1.7325,6,2,2,0.3024,1,3681,0,1,388,18,0,5,1,0,0,0,0,0,112,1,2,2,7,21,14,27,0,36,0,709,22,888,3,6
12499391,1,2674,2673,0,0,14,244,18,3,1,1,1,6,0,10,48,32,0,0,1.19721424,1.3658,3,0,0,-0.7477,1,3727,0,9,368,4,0,2,8,0,0,0,0,0,113,0,2,3,4,23,19,16,0,36,1,295,16,491,6,7
12499375,1,2527,2681,5,0,23,366,16,9,1,1,5,3,0,9,43,40,0,1,1.10515071,1.582,11,1,2,-0.0301,0,3683,0,16,322,10,0,7,7,0,1,0,1,0,115,1,6,7,2,30,8,15,0,51,2,444,20,644,7,4
12499375,1,2681,2527,6,0,19,528,9,16,2,3,7,4,0,9,40,43,0,0,1.1939585000000001,2.7194,7,0,3,0.5306,1,3656,2,4,317,15,0,10,5,0,0,1,0,1,133,0,4,5,8,15,14,18,0,39,0,612,13,792,11,3
12499386,1,36360,2542,6,0,21,412,14,19,1,1,5,1,1,11,41,58,0,1,1.27784107,1.3393,9,1,1,0.8577,1,3664,0,11,347,12,0,3,7,0,0,0,0,0,146,0,3,3,5,8,16,22,0,40,3,505,14,692,16,10
12499386,1,2542,36360,1,0,24,213,19,14,1,3,6,10,0,5,58,41,1,0,0.36107117,1.0557,16,0,0,-0.5378,1,3684,0,6,382,6,2,4,5,0,0,0,0,0,133,0,1,2,0,22,10,11,0,62,2,301,17,476,9,1
12437605,1,2816,24264,4,0,25,305,1,8,2,1,5,8,0,13,40,40,0,1,0.87982824,1.3816,11,1,1,-0.011,0,4157,1,13,347,15,0,4,5,0,0,0,0,0,109,0,1,1,10,24,15,12,0,51,1,370,18,563,7,7
12437605,1,24264,2816,5,1,20,507,8,1,2,1,5,7,0,11,40,40,0,1,1.4031672,1.5791,7,1,1,0.348,0,3987,1,8,341,12,0,2,5,0,0,0,0,0,123,0,3,3,6,13,15,23,1,42,3,577,21,779,10,8
12437606,1,2826,2829,5,0,24,267,11,10,1,1,1,11,0,6,47,40,0,0,0.4797907,1.0378,11,1,1,0.2316,0,4196,0,14,357,7,0,5,3,0,0,0,0,0,100,1,3,5,6,28,15,24,0,48,0,322,18,506,6,6
12437606,1,2829,2826,1,0,21,598,10,11,0,0,3,6,0,10,40,47,0,0,1.03520312,0.6042,6,1,1,-0.394,1,3997,0,4,311,10,0,5,1,0,0,0,0,0,109,1,3,4,5,23,19,13,0,36,0,667,15,828,11,11
12499462,1,2526,5885,5,0,32,437,25,19,3,3,1,8,0,12,61,61,0,0,0.83460596,1.2107999999999999,10,0,0,-0.1993,0,3699,0,7,307,8,0,3,0,0,0,0,0,0,163,0,1,1,7,16,11,23,0,69,1,544,24,747,15,5
12499462,1,5885,2526,2,0,20,247,19,25,2,0,0,5,0,13,61,61,0,0,0.38767093,1.1152,15,2,2,0.6939,0,3715,0,8,301,4,0,3,1,0,0,0,0,0,162,0,2,3,2,24,19,11,0,60,0,351,18,553,10,8
